路線名,総額

北海道新幹線(新青森-札幌),"$78,562,138"

新幹線カムイ各停(札幌-稚内),"$49,417,030"

千歳線(札幌-苫小牧),"$6,670,631"

特急北斗,"$5,960,439"

函館本線(小樽-岩見沢),"$4,219,988"

北海道リニア,"$3,664,190"

札沼線(札幌-当別),"$2,189,230"

室蘭本線普通(長万部-東室蘭),"$2,120,826"

函館本線(岩見沢-旭川),"$1,695,789"

札幌 特別快速(小樽-苫小牧),"$1,599,467"

日高本線(苫小牧-様似),"$904,307"

宗谷本線(旭川-名寄),"$839,380"

札沼線(札幌-石狩沼田),"$759,232"

特急留萌,"$632,585"

函館本線(小樽-倶知安),"$597,616"

江差線(函館-木古内),"$498,347"

急行しかべ,"$372,714"

留萌本線(深川-増毛),"$353,811"

函館本線(函館-新函館北斗),"$319,444"

函館本線(森-長万部),"$256,933"

羽幌線(留萌-羽幌),"$221,280"

日高本線(苫小牧-鵡川),"$214,829"

江差線(木古内-江差),"$213,847"

函館本線(函館-森),"$197,422"

瀬棚線(国縫-瀬棚),"$187,387"

深名線(深川-名寄),"$175,936"

富内線(鵡川-日高町),"$174,913"

函館本線(長万部-倶知安),"$159,125"

松前線(木古内-松前),"$151,555"

函館本線旭川大町支線,"$146,562"

岩内線(小沢-岩内),"$142,201"

室蘭本線普通(東室蘭-苫小牧),"$141,095"

羽幌線(羽幌-幌延),"$133,935"

神居古潭線,"$101,718"

急行名羽,"$99,706"

天北線(稚内-新稚内),"$85,520"

宗谷本線(音威子府-稚内),"$78,285"

幌内線(岩見沢-幌内),"$71,603"

幌内線幾春別支線,"$58,561"

胆振線,"$56,949"

名羽線(羽幌-朱鞠内) 

宗谷本線(名寄-音威子府) 

胆振線脇方支線 

函館本線(函館-森)砂原支線経由 

大沼鉄道鹿部線 

室蘭本線快速室蘭支線(室蘭港-東室蘭-苫小牧)
